랭킹,제목,가수,좋아요,좋아요차이
1,초록빛,폴킴,12673,8009
2,넘쳐흘러,엠씨더맥스,76850,72186
3,벌써 12시,청하,71114,66450
4,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",44882,40218
5,180도,벤,117745,113081
6,신용재,하은 (라코스테남),80209,75545
7,SOLO,제니 (JENNIE),159014,154350
8,Love Shot,EXO,120406,115742
9,MILLIONS,WINNER,99941,95277
10,아낙네,MINO (송민호),140789,136125
11,너를 만나,폴킴,158961,154297
12,Tempo,EXO,167561,162897
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233930,229266
14,YES or YES,TWICE (트와이스),115241,110577
15,해야 (Sunrise),여자친구 (GFRIEND),25721,21057
16,내 생에 아름다운,케이윌,90105,85441
17,너도 그냥 날 놓아주면 돼,윤건,39285,34621
18,IDOL,방탄소년단,213691,209027
19,아름답고도 아프구나,비투비,120631,115967
20,%%(응응),Apink (에이핑크),24106,19442
21,첫눈에,헤이즈 (Heize),49927,45263
22,가을 타나 봐,바이브,112449,107785
23,흔한 이별,허각,37023,32359
24,삐삐,아이유,203849,199185
25,고백,양다일,97928,93264
26,봄바람,Wanna One (워너원),125246,120582
27,트라우마 (Trauma),EXO,66742,62078
28,이별하러 가는 길,임한별,70665,66001
29,Wait,EXO,67587,62923
30,Way Back Home,숀 (SHAUN),249576,244912
31,FAKE LOVE,방탄소년단,268874,264210
32,"thank u, next",Ariana Grande,82041,77377
33,Gravity,EXO,95801,91137
34,닿은 순간 (Ooh La La La),EXO,93176,88512
35,사계 (하루살이),엠씨더맥스,20801,16137
36,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136065,131401
37,열애중,벤,148430,143766
38,24/7,EXO,91819,87155
39,눈,폴킴,4664,0
40,Sign,EXO,90031,85367
41,여기 있을게 (Smile On My Face),EXO,87048,82384
42,봄날,방탄소년단,377677,373013
43,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,22076,17412
44,Damage,EXO,83595,78931
45,가끔 (With You),EXO,84787,80123
46,너 없인 안 된다,비투비,150294,145630
47,후폭풍 (Bad Dream),EXO,83509,78845
48,오아시스 (Oasis),EXO,86568,81904
49,I`m Fine,방탄소년단,157359,152695
50,그리워하다,비투비,218965,214301
51,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",120379,115715
52,DNA,방탄소년단,334897,330233
53,이 마음,펀치 (Punch),5347,683
54,습관 (Bad Habits),숀 (SHAUN),17708,13044
55,지나오다,닐로 (Nilo),192156,187492
56,Universe,EXO,185750,181086
57,We all lie,하진,37317,32653
58,Euphoria,방탄소년단,151014,146350
59,알았다면,장덕철,20864,16200
60,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),79212,74548
61,Answer : Love Myself,방탄소년단,130895,126231
62,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202892,198228
63,에너제틱 (Energetic),Wanna One (워너원),286658,281994
64,너는 어땠을까,노을,37553,32889
65,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191645,186981
66,Bohemian Rhapsody (2011 Remaster),Queen,88567,83903
67,그 남자를 떠나,god,14164,9500
68,Beautiful,Wanna One (워너원),235159,230495
69,Epiphany,방탄소년단,119750,115086
70,Dance The Night Away,TWICE (트와이스),138682,134018
71,사이렌 (Siren),선미,110102,105438
72,헤어지는 중,펀치 (Punch),98217,93553
73,우리 그만하자,로이킴,121726,117062
74,밤편지,아이유,304043,299379
75,그때가 좋았어,케이시 (Kassy),15922,11258
76,미안해,양다일,142271,137607
77,비,폴킴,183345,178681
78,BOOMERANG (부메랑),Wanna One (워너원),144112,139448
79,이별길 (GOODBYE ROAD),iKON,84378,79714
80,켜줘 (Light),Wanna One (워너원),133388,128724
81,YA,이민혁 (HUTA),16451,11787
82,Anpanman,방탄소년단,149105,144441
83,행복,오반,43416,38752
84,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),9030,4366
85,사랑을 했다 (LOVE SCENARIO),iKON,279063,274399
86,flex (Prod. By 기리보이),"기리보이,Kid Milli,NO:EL,스윙스",106964,102300
87,Wind flower,마마무(Mamamoo),49091,44427
88,Trivia 轉 : Seesaw,방탄소년단,114185,109521
89,시간이 들겠지 (Feat. Colde),로꼬,96577,91913
90,가을 안부,먼데이 키즈 (Monday Kiz),126187,121523
91,불꽃놀이 (Flowerbomb),Wanna One (워너원),72429,67765
92,All Night (전화해),아스트로 (ASTRO),12286,7622
93,동화 (feat. 아이유),김동률,55035,50371
94,IndiGO,"저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",89630,84966
95,술래,Wanna One (워너원),69580,64916
96,그때 헤어지면 돼,로이킴,191613,186949
97,집,Wanna One (워너원),71860,67196
98,I`M OK,iKON,23809,19145
99,묻고싶다 (One Love),Wanna One (워너원),66982,62318
100,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74609,69945
계,,,11223442,10757042
